model,reference,series,horizon,dm_stat,p_value,better
lightgbm,seasonal_naive,business-2,1,-6.994247453244652,2.634848723422344e-11,model
lightgbm,seasonal_naive,business-2,6,0.3967540487251538,0.6919014036313997,reference
lightgbm,seasonal_naive,business-2,24,-0.6562289430585828,0.5123054859004452,model
lightgbm,seasonal_naive,duomo,1,-6.902672811207097,4.5223727178533286e-11,model
lightgbm,seasonal_naive,duomo,6,0.23470709073203536,0.8146362011615045,reference
lightgbm,seasonal_naive,duomo,24,-0.18145259453778995,0.8561654900164876,model
lightgbm,seasonal_naive,mixed_suburban,1,0.5095946979267059,0.6108036943754287,reference
lightgbm,seasonal_naive,mixed_suburban,6,4.713934163069961,4.12050652524647e-06,reference
lightgbm,seasonal_naive,mixed_suburban,24,3.4491612285489013,0.0006640791382301688,reference
lightgbm,seasonal_naive,mixed_suburban-2,1,8.669426715354,6.590102159566273e-16,reference
lightgbm,seasonal_naive,mixed_suburban-2,6,7.18912996059648,8.224338226511874e-12,reference
lightgbm,seasonal_naive,mixed_suburban-2,24,6.916769128684137,4.1627346128058515e-11,reference
lightgbm,seasonal_naive,navigli,1,10.109913251922855,3.018817072525416e-20,reference
lightgbm,seasonal_naive,navigli,6,7.5915468609689105,6.991648777905144e-13,reference
lightgbm,seasonal_naive,navigli,24,6.107178793084587,4.0546483200328786e-09,reference
gru,seasonal_naive,bocconi,1,9.73138370799805,4.444158901596643e-19,reference
gru,seasonal_naive,bocconi,6,8.131781439917374,2.2657085608481352e-14,reference
gru,seasonal_naive,bocconi,24,8.352218352768904,5.388976125878758e-15,reference
gru,seasonal_naive,business,1,10.659130812863145,5.696094048905961e-22,reference
gru,seasonal_naive,business,6,11.350153702433598,3.493625347680361e-24,reference
gru,seasonal_naive,business,24,8.740632019412038,4.0896327774143773e-16,reference
gru,seasonal_naive,business-2,1,-6.825982200388251,7.085027215006462e-11,model
gru,seasonal_naive,business-2,6,1.3314870193301052,0.18429208056256116,reference
gru,seasonal_naive,business-2,24,1.1503100841937608,0.2511610483676891,reference
gru,seasonal_naive,duomo,1,-7.75629071709002,2.491835231343606e-13,model
gru,seasonal_naive,duomo,6,1.4993172221404973,0.13510559234671324,reference
gru,seasonal_naive,duomo,24,0.7838878490386644,0.4338788632718311,reference
gru,seasonal_naive,mixed_suburban,1,3.1435110957640253,0.001879588335012048,reference
gru,seasonal_naive,mixed_suburban,6,9.453099750305318,3.1233683460450235e-18,reference
gru,seasonal_naive,mixed_suburban,24,6.560185351328648,3.2751883342599534e-10,reference
gru,seasonal_naive,mixed_suburban-2,1,8.97991042139371,8.116187628499413e-17,reference
gru,seasonal_naive,mixed_suburban-2,6,13.001110177276296,1.305090181058784e-29,reference
gru,seasonal_naive,mixed_suburban-2,24,10.274292053679227,9.274146280648685e-21,reference
gru,seasonal_naive,navigli,1,17.28955579033672,4.781040841986603e-44,reference
gru,seasonal_naive,navigli,6,19.257552220294407,1.3536681775687926e-50,reference
gru,seasonal_naive,navigli,24,14.088625012702765,2.962181996294396e-33,reference
