series,stl24_trend_var,stl24_seasonal_var,stl24_resid_var,mstl_daily_var,mstl_weekly_var,mstl_trend_var,mstl_resid_var,stl24_trend_share,stl24_seasonal_share,stl24_resid_share,mstl_daily_share,mstl_weekly_share,mstl_trend_share,mstl_resid_share
citywide,0.03949461910534306,0.12667461962653317,0.009945998418416287,0.12703314349687062,0.013651462677880592,0.027195315643454423,0.004736458911060712,0.2525073900740895,0.8098895068517483,0.06358937392500531,0.8121817159888133,0.08728012295272715,0.17387224718014116,0.03028237529358281
duomo,0.037504459383692255,0.5655951255311034,0.10592234968742577,0.5915063825704092,0.08090600547080182,0.016747050729758312,0.0657563146265328,0.06258298576237835,0.9437979448325244,0.17675063209385258,0.987035571958042,0.13500632915859984,0.02794548847271267,0.10972632507397671
bocconi,0.24729636418383938,0.3286245476163509,0.08969068663038897,0.3355583554962379,0.10916899335520569,0.1655076009503784,0.04340206475910685,0.4584304450864402,0.6091941469794515,0.16626585484900797,0.6220478282012161,0.20237414479842997,0.30681293442901814,0.08045742172900129
navigli,0.09898836767980729,0.10491942096988827,0.012867590166388842,0.10174484401104515,0.011107819253389445,0.07249841919240332,0.011739218920574201,0.4829059293436389,0.5118400442115363,0.06277339179703069,0.4963531534534037,0.05418850623832853,0.3536770765762807,0.05726873324091317
business,0.14062943133573844,0.1873243046792276,0.026692036736001776,0.19897116883056226,0.04034678854783125,0.0903707378965188,0.016754510795827213,0.4489554329878598,0.5980274791528637,0.0852135630238742,0.6352097594788768,0.1288059672154692,0.28850599320779047,0.053488295994615104
business-2,0.09202423448547471,1.2980396662547353,0.08097612690246508,1.2771600137521606,0.06005940000418159,0.05275364365091797,0.058187028233683664,0.06462621525249797,0.9115793393630468,0.056867417988011794,0.8969161050033876,0.0421781472490137,0.03704750546418208,0.04086322948034702
mixed_suburban,0.05612463751095056,0.15809696259126563,0.01913210421306796,0.15904321498495144,0.014864151803724612,0.04181501054979999,0.016571399605222616,0.24848015283365857,0.6999414013061578,0.0847034099412234,0.7041307368605548,0.06580793882564603,0.1851272573498243,0.07336642318215314
mixed_suburban-2,0.0875650909367612,0.10877857035599584,0.011988276426277669,0.10506497151673966,0.011616879981668824,0.06319479549636424,0.015660163812097352,0.43079078084633865,0.5351539610328313,0.058978285837761844,0.5168843044082687,0.05715114030904716,0.3108971281371043,0.07704273614775418
