day,gru,lightgbm,naive,sarima,seasonal_naive,weekly_naive
2013-12-22,652.4647276003326,441.82544258945194,1764.4651128595526,829.2827866024928,700.6662661069399,1015.2682865687779
2013-12-23,1355.1875191054132,1213.2896004935153,1434.7255172729492,785.8911650148455,613.4731383550735,1512.156234014602
2013-12-24,1580.9684576698774,1473.3768499893113,1264.785437992641,1155.7558473900854,1185.024632953462,2217.1820760454452
2013-12-25,2202.4007322331486,1842.8829846628653,720.2311032613119,1621.6109004528812,1298.3743654886882,3504.4667972383045
2013-12-26,1879.9845902940629,1208.5701234267083,603.5669271075536,1075.4019900982364,542.0734449114118,3009.5016926356725
2013-12-27,1512.698569484716,1024.409126846306,1318.1338599674286,864.347922081448,1165.1550767081123,1814.8327972775414
2013-12-28,1201.9502298201612,701.8248873223675,976.5110951378232,824.1669021395676,410.8677589779808,1682.5063907078334
2013-12-29,1285.457063489802,659.7766883002406,1059.0765231299022,1040.2375805689278,457.00402650379,1325.3856341044109
2013-12-30,1733.963869084171,1096.9597454136592,1016.1153864179339,810.0215290593959,517.8352946326846,1375.730460030692
2013-12-31,1941.6977620711866,997.8839107185485,800.3919672284808,1111.8212789026388,655.8749602181571,862.5858837309338
2014-01-01,2506.3680243148215,995.0533112130399,1072.123743575839,1931.0565176326659,1036.4974730882777,721.7108233051915
