stage,seconds,rss_start_mb,rss_peak_mb,rss_end_mb,note
train:lightgbm:opt07:val,26.3,1048.6,1076.6,1076.6,
train:lightgbm:opt08:val,3.22,1051.7,1058.2,1058.2,
train:lightgbm:opt09:val,13.98,1052.2,1064.9,1064.9,
train:lightgbm:opt10:val,7.65,1052.5,1069.6,1069.6,
train:lightgbm:opt11:val,9.82,1051.8,1063.4,1063.4,
train:lightgbm:opt12:val,4.54,1051.6,1059.4,1059.4,
train:lightgbm:opt13:val,19.81,1051.5,1078.6,1078.6,
train:lightgbm:opt14:val,16.52,1051.9,1063.4,1063.4,
train:lightgbm:opt15:val,5.05,1051.9,1063.3,1063.3,
train:lightgbm:opt16:val,12.49,1052.1,1071.1,1071.1,
train:lightgbm:opt17:val,18.49,1051.7,1070.0,1070.0,
train:lightgbm:opt18:val,5.88,1051.7,1065.6,1065.6,
train:lightgbm:opt19:val,13.41,1051.9,1065.5,1065.5,
train:lstm:l1:val,12.16,1052.2,1667.4,1667.4,
train:lstm:l2:val,5.57,1048.7,1762.4,1762.4,
train:lstm:l3:val,5.55,1048.4,1762.0,1762.0,
train:lstm:l4:val,7.4,1051.8,1782.7,1782.7,
train:lstm:l5:val,7.03,1051.8,1767.3,1767.3,
train:lstm:l6:val,11.6,1052.2,1808.7,1808.7,
train:sarima:s2:test,59.47,1052.1,1052.1,1043.6,
train:lightgbm:g3:test,9.12,1048.4,1058.2,1058.2,
train:gru:l5:test,11.99,1052.1,1710.1,1710.1,
