series,horizon,gru,lightgbm,naive,sarima,seasonal_naive,weekly_naive
bocconi,1,0.4966862448368,0.48297816382235426,0.09204872417278034,0.1046955394951527,0.25985471120129383,1.2072465726579618
bocconi,6,1.8031141643730242,1.0840027325600556,0.3247228254862555,0.5157496603840906,0.2707541824382623,1.211665024671453
bocconi,24,2.3369744836403163,0.8047962192762653,0.254737679822909,1.1186101168150666,0.254737679822909,1.2027924700251165
business,1,0.9669244064812956,0.9695669902710636,0.20529918330921731,0.17939477302626333,0.4622065795760949,2.4379927093723546
business,6,2.8156997845962373,1.7699186557834972,0.8294018145525749,0.9045667748804024,0.46045353907444175,2.434115394911538
business,24,3.3671254888826723,1.5695689300067057,0.42640729753947315,2.1361070020703403,0.42640729753947315,2.401267289633837
business-2,1,0.607467714569707,0.6311495798354171,0.8351910439818934,0.4118160185979177,1.3608677571163716,1.9304824590283607
business-2,6,1.6617092307716728,1.4015532402629942,4.195911973824953,1.2431896539073095,1.3649321462257218,1.9276279806395262
business-2,24,1.7223305752977314,1.3285495313531948,1.464469695775523,1.6463292586530405,1.464469695775523,1.875626158376094
duomo,1,0.6649598773579064,0.7642019347031134,0.7370905433802365,0.4104727785813085,1.3783842470381422,2.0075600320013094
duomo,6,1.7309570650649864,1.447429352977564,3.534287506134049,1.323224209491422,1.4237396057377147,1.9770366704725948
duomo,24,1.7098288018479626,1.5226091645787223,1.5678068239831437,1.7119664538878845,1.5678068239831437,2.0175476172682174
mixed_suburban,1,1.0677085527908434,0.9253585251411459,0.5386081534292012,0.4870775684680526,0.8957996270985896,2.8571194731955054
mixed_suburban,6,2.692748415953363,1.9593729483370728,2.4244248053566677,1.9662337147397408,0.8981477593798373,2.855006061053774
mixed_suburban,24,3.3837894779207973,1.6542354917343314,0.9271499372824722,3.2018857812483463,0.9271499372824722,2.8779824248748658
mixed_suburban-2,1,1.5427584416822675,1.524192277232003,0.4566564002162376,0.6338648726566057,0.9010832852677985,3.481666792726406
mixed_suburban-2,6,3.8403615765434695,2.3911763868338376,1.6611650768539092,2.5584142109598176,0.8754714367778283,3.44026725999276
mixed_suburban-2,24,4.039228260070868,2.1777737384017444,0.7652604924935965,3.5079458423156797,0.7652604924935965,3.286619969674978
navigli,1,1.7384125859323423,1.3429838233117601,0.42990793695884,0.5640635049929184,0.7204275648305948,2.73851802441427
navigli,6,4.351673376519499,2.408243046798377,1.6915411185065856,2.280361658537209,0.7456278141842478,2.7403603695550838
navigli,24,4.136745716848101,1.9183385484695084,0.7056777467351585,3.062496802444004,0.7056777467351585,2.6189262679970127
